ActivityHour,StepTotal
3/11/2023 12:00:00 AM,138
3/11/2023 1:00:00 AM,0
3/11/2023 2:00:00 AM,0
3/11/2023 3:00:00 AM,308
3/11/2023 4:00:00 AM,902
3/11/2023 5:00:00 AM,648
3/11/2023 6:00:00 AM,1314
3/11/2023 7:00:00 AM,958
3/11/2023 8:00:00 AM,1031
3/11/2023 9:00:00 AM,231
3/11/2023 10:00:00 AM,488
3/11/2023 11:00:00 AM,1019
3/11/2023 12:00:00 PM,1360
3/11/2023 1:00:00 PM,1700
3/11/2023 2:00:00 PM,255
3/11/2023 3:00:00 PM,98
3/11/2023 4:00:00 PM,27
3/11/2023 5:00:00 PM,1216
3/11/2023 6:00:00 PM,1938
3/11/2023 7:00:00 PM,2027
3/11/2023 8:00:00 PM,1381
3/11/2023 9:00:00 PM,925
3/11/2023 10:00:00 PM,689
3/11/2023 11:00:00 PM,1661
3/12/2023 12:00:00 AM,887
3/12/2023 1:00:00 AM,1251
3/12/2023 2:00:00 AM,174
3/12/2023 3:00:00 AM,478
3/12/2023 4:00:00 AM,92
3/12/2023 5:00:00 AM,0
3/12/2023 6:00:00 AM,0
3/12/2023 7:00:00 AM,0
3/12/2023 8:00:00 AM,0
3/12/2023 9:00:00 AM,381
3/12/2023 10:00:00 AM,60
3/12/2023 11:00:00 AM,561
3/12/2023 12:00:00 PM,484
3/12/2023 1:00:00 PM,262
3/12/2023 2:00:00 PM,0
3/12/2023 3:00:00 PM,0
3/12/2023 4:00:00 PM,0
3/12/2023 5:00:00 PM,75
3/12/2023 6:00:00 PM,726
3/12/2023 7:00:00 PM,241
3/12/2023 8:00:00 PM,377
3/12/2023 9:00:00 PM,2167
3/12/2023 10:00:00 PM,223
3/12/2023 11:00:00 PM,12
3/13/2023 12:00:00 AM,255
3/13/2023 1:00:00 AM,96
3/13/2023 2:00:00 AM,535
3/13/2023 3:00:00 AM,5
3/13/2023 4:00:00 AM,0
3/13/2023 5:00:00 AM,0
3/13/2023 6:00:00 AM,8
3/13/2023 7:00:00 AM,29
3/13/2023 8:00:00 AM,0
3/13/2023 9:00:00 AM,0
3/13/2023 10:00:00 AM,898
3/13/2023 11:00:00 AM,2030
3/13/2023 12:00:00 PM,1682
3/13/2023 1:00:00 PM,184
3/13/2023 2:00:00 PM,1954
3/13/2023 3:00:00 PM,716
3/13/2023 4:00:00 PM,1249
3/13/2023 5:00:00 PM,398
3/13/2023 6:00:00 PM,53
3/13/2023 7:00:00 PM,670
3/13/2023 8:00:00 PM,1503
3/13/2023 9:00:00 PM,770
3/13/2023 10:00:00 PM,764
3/13/2023 11:00:00 PM,507
3/14/2023 12:00:00 AM,24
3/14/2023 1:00:00 AM,1595
3/14/2023 2:00:00 AM,857
3/14/2023 3:00:00 AM,3237
3/14/2023 4:00:00 AM,1446
3/14/2023 5:00:00 AM,887
3/14/2023 6:00:00 AM,1871
3/14/2023 7:00:00 AM,1737
3/14/2023 8:00:00 AM,673
3/14/2023 9:00:00 AM,561
3/14/2023 10:00:00 AM,436
3/14/2023 11:00:00 AM,574
3/14/2023 12:00:00 PM,480
3/14/2023 1:00:00 PM,2263
3/14/2023 2:00:00 PM,1119
3/14/2023 3:00:00 PM,1205
3/14/2023 4:00:00 PM,0
3/14/2023 5:00:00 PM,82
3/14/2023 6:00:00 PM,0
3/14/2023 7:00:00 PM,0
3/14/2023 8:00:00 PM,18
3/14/2023 9:00:00 PM,448
3/14/2023 10:00:00 PM,353
3/14/2023 11:00:00 PM,359
3/15/2023 12:00:00 AM,165
3/15/2023 1:00:00 AM,0
3/15/2023 2:00:00 AM,0
3/15/2023 3:00:00 AM,0
3/15/2023 4:00:00 AM,0
3/15/2023 5:00:00 AM,97
3/15/2023 6:00:00 AM,2006
3/15/2023 7:00:00 AM,1183
3/15/2023 8:00:00 AM,1268
3/15/2023 9:00:00 AM,12
3/15/2023 10:00:00 AM,633
3/15/2023 11:00:00 AM,508
3/15/2023 12:00:00 PM,3441
3/15/2023 1:00:00 PM,411
3/15/2023 2:00:00 PM,1883
3/15/2023 3:00:00 PM,61
3/15/2023 4:00:00 PM,0
3/15/2023 5:00:00 PM,27
3/15/2023 6:00:00 PM,68
3/15/2023 7:00:00 PM,1576
3/15/2023 8:00:00 PM,1396
3/15/2023 9:00:00 PM,329
3/15/2023 10:00:00 PM,1599
3/15/2023 11:00:00 PM,160
3/16/2023 12:00:00 AM,0
3/16/2023 1:00:00 AM,0
3/16/2023 2:00:00 AM,48
3/16/2023 3:00:00 AM,629
3/16/2023 4:00:00 AM,3433
3/16/2023 5:00:00 AM,206
3/16/2023 6:00:00 AM,584
3/16/2023 7:00:00 AM,0
3/16/2023 8:00:00 AM,0
3/16/2023 9:00:00 AM,0
3/16/2023 10:00:00 AM,0
3/16/2023 11:00:00 AM,82
3/16/2023 12:00:00 PM,229
3/16/2023 1:00:00 PM,525
3/16/2023 2:00:00 PM,254
3/16/2023 3:00:00 PM,770
3/16/2023 4:00:00 PM,149
3/16/2023 5:00:00 PM,0
3/16/2023 6:00:00 PM,641
3/16/2023 7:00:00 PM,984
3/16/2023 8:00:00 PM,1428
3/16/2023 9:00:00 PM,851
3/16/2023 10:00:00 PM,208
3/16/2023 11:00:00 PM,16
3/17/2023 12:00:00 AM,84
3/17/2023 1:00:00 AM,192
3/17/2023 2:00:00 AM,0
3/17/2023 3:00:00 AM,0
3/17/2023 4:00:00 AM,0
3/17/2023 5:00:00 AM,182
3/17/2023 6:00:00 AM,24
3/17/2023 7:00:00 AM,0
3/17/2023 8:00:00 AM,0
3/17/2023 9:00:00 AM,13
3/17/2023 10:00:00 AM,1304
3/17/2023 11:00:00 AM,1632
3/17/2023 12:00:00 PM,3332
3/17/2023 1:00:00 PM,1151
3/17/2023 2:00:00 PM,137
3/17/2023 3:00:00 PM,32
3/17/2023 4:00:00 PM,110
3/17/2023 5:00:00 PM,25
3/17/2023 6:00:00 PM,697
3/17/2023 7:00:00 PM,426
3/17/2023 8:00:00 PM,382
3/17/2023 9:00:00 PM,2152
3/17/2023 10:00:00 PM,516
3/17/2023 11:00:00 PM,65
3/18/2023 12:00:00 AM,166
3/18/2023 1:00:00 AM,0
3/18/2023 2:00:00 AM,0
3/18/2023 3:00:00 AM,12
3/18/2023 4:00:00 AM,0
3/18/2023 5:00:00 AM,96
3/18/2023 6:00:00 AM,1207
3/18/2023 7:00:00 AM,1634
3/18/2023 8:00:00 AM,3247
3/18/2023 9:00:00 AM,1697
3/18/2023 10:00:00 AM,1530
3/18/2023 11:00:00 AM,2306
3/18/2023 12:00:00 PM,2592
3/18/2023 1:00:00 PM,479
3/18/2023 2:00:00 PM,104
3/18/2023 3:00:00 PM,233
3/18/2023 4:00:00 PM,68
3/18/2023 5:00:00 PM,68
3/18/2023 6:00:00 PM,1267
3/18/2023 7:00:00 PM,1360
3/18/2023 8:00:00 PM,225
3/18/2023 9:00:00 PM,2826
3/18/2023 10:00:00 PM,1385
3/18/2023 11:00:00 PM,50
3/19/2023 12:00:00 AM,116
3/19/2023 1:00:00 AM,0
3/19/2023 2:00:00 AM,0
3/19/2023 3:00:00 AM,0
3/19/2023 4:00:00 AM,5
3/19/2023 5:00:00 AM,0
3/19/2023 6:00:00 AM,36
3/19/2023 7:00:00 AM,0
3/19/2023 8:00:00 AM,1188
3/19/2023 9:00:00 AM,705
3/19/2023 10:00:00 AM,46
3/19/2023 11:00:00 AM,2515
3/19/2023 12:00:00 PM,1019
3/19/2023 1:00:00 PM,0
3/19/2023 2:00:00 PM,0
3/19/2023 3:00:00 PM,0
3/19/2023 4:00:00 PM,0
3/19/2023 5:00:00 PM,57
3/19/2023 6:00:00 PM,204
3/19/2023 7:00:00 PM,479
3/19/2023 8:00:00 PM,1526
3/19/2023 9:00:00 PM,1284
3/19/2023 10:00:00 PM,1087
3/19/2023 11:00:00 PM,204
3/20/2023 12:00:00 AM,14
3/20/2023 1:00:00 AM,20
3/20/2023 2:00:00 AM,130
3/20/2023 3:00:00 AM,0
3/20/2023 4:00:00 AM,0
3/20/2023 5:00:00 AM,0
3/20/2023 6:00:00 AM,0
3/20/2023 7:00:00 AM,0
3/20/2023 8:00:00 AM,55
3/20/2023 9:00:00 AM,1400
3/20/2023 10:00:00 AM,1772
3/20/2023 11:00:00 AM,2075
3/20/2023 12:00:00 PM,1771
3/20/2023 1:00:00 PM,602
3/20/2023 2:00:00 PM,71
3/20/2023 3:00:00 PM,0
3/20/2023 4:00:00 PM,0
3/20/2023 5:00:00 PM,0
3/20/2023 6:00:00 PM,92
3/20/2023 7:00:00 PM,770
3/20/2023 8:00:00 PM,312
3/20/2023 9:00:00 PM,184
3/20/2023 10:00:00 PM,1382
3/20/2023 11:00:00 PM,1123
3/21/2023 12:00:00 AM,503
3/21/2023 1:00:00 AM,258
3/21/2023 2:00:00 AM,9
3/21/2023 3:00:00 AM,14
3/21/2023 4:00:00 AM,0
3/21/2023 5:00:00 AM,221
3/21/2023 6:00:00 AM,1791
3/21/2023 7:00:00 AM,438
3/21/2023 8:00:00 AM,1783
3/21/2023 9:00:00 AM,301
3/21/2023 10:00:00 AM,294
3/21/2023 11:00:00 AM,2443
3/21/2023 12:00:00 PM,497
3/21/2023 1:00:00 PM,440
3/21/2023 2:00:00 PM,1607
3/21/2023 3:00:00 PM,845
3/21/2023 4:00:00 PM,1358
3/21/2023 5:00:00 PM,4135
3/21/2023 6:00:00 PM,480
3/21/2023 7:00:00 PM,456
3/21/2023 8:00:00 PM,16
3/21/2023 9:00:00 PM,0
3/21/2023 10:00:00 PM,0
3/21/2023 11:00:00 PM,0
3/22/2023 12:00:00 AM,0
3/22/2023 1:00:00 AM,0
3/22/2023 2:00:00 AM,138
3/22/2023 3:00:00 AM,0
3/22/2023 4:00:00 AM,0
3/22/2023 5:00:00 AM,53
3/22/2023 6:00:00 AM,1816
3/22/2023 7:00:00 AM,1629
3/22/2023 8:00:00 AM,700
3/22/2023 9:00:00 AM,127
3/22/2023 10:00:00 AM,629
3/22/2023 11:00:00 AM,589
3/22/2023 12:00:00 PM,535
3/22/2023 1:00:00 PM,106
3/22/2023 2:00:00 PM,354
3/22/2023 3:00:00 PM,1675
3/22/2023 4:00:00 PM,1897
3/22/2023 5:00:00 PM,1615
3/22/2023 6:00:00 PM,1367
3/22/2023 7:00:00 PM,195
3/22/2023 8:00:00 PM,729
3/22/2023 9:00:00 PM,668
3/22/2023 10:00:00 PM,94
3/22/2023 11:00:00 PM,101
3/23/2023 12:00:00 AM,0
3/23/2023 1:00:00 AM,0
3/23/2023 2:00:00 AM,0
3/23/2023 3:00:00 AM,85
3/23/2023 4:00:00 AM,2062
3/23/2023 5:00:00 AM,217
3/23/2023 6:00:00 AM,1512
3/23/2023 7:00:00 AM,2007
3/23/2023 8:00:00 AM,6
3/23/2023 9:00:00 AM,2514
3/23/2023 10:00:00 AM,276
3/23/2023 11:00:00 AM,7
3/23/2023 12:00:00 PM,355
3/23/2023 1:00:00 PM,423
3/23/2023 2:00:00 PM,170
3/23/2023 3:00:00 PM,483
3/23/2023 4:00:00 PM,3391
3/23/2023 5:00:00 PM,815
3/23/2023 6:00:00 PM,2355
3/23/2023 7:00:00 PM,408
3/23/2023 8:00:00 PM,90
3/23/2023 9:00:00 PM,227
3/23/2023 10:00:00 PM,0
3/23/2023 11:00:00 PM,5
3/24/2023 12:00:00 AM,0
3/24/2023 1:00:00 AM,0
3/24/2023 2:00:00 AM,15
3/24/2023 3:00:00 AM,228
3/24/2023 4:00:00 AM,0
3/24/2023 5:00:00 AM,54
3/24/2023 6:00:00 AM,2341
3/24/2023 7:00:00 AM,857
3/24/2023 8:00:00 AM,1842
3/24/2023 9:00:00 AM,259
3/24/2023 10:00:00 AM,349
3/24/2023 11:00:00 AM,266
3/24/2023 12:00:00 PM,219
3/24/2023 1:00:00 PM,2188
3/24/2023 2:00:00 PM,121
3/24/2023 3:00:00 PM,2103
3/24/2023 4:00:00 PM,297
3/24/2023 5:00:00 PM,875
3/24/2023 6:00:00 PM,0
3/24/2023 7:00:00 PM,0
3/24/2023 8:00:00 PM,151
3/24/2023 9:00:00 PM,1411
3/24/2023 10:00:00 PM,113
3/24/2023 11:00:00 PM,60
3/25/2023 12:00:00 AM,673
3/25/2023 1:00:00 AM,38
3/25/2023 2:00:00 AM,630
3/25/2023 3:00:00 AM,775
3/25/2023 4:00:00 AM,1795
3/25/2023 5:00:00 AM,747
3/25/2023 6:00:00 AM,728
3/25/2023 7:00:00 AM,1569
3/25/2023 8:00:00 AM,1880
3/25/2023 9:00:00 AM,439
3/25/2023 10:00:00 AM,2552
3/25/2023 11:00:00 AM,435
3/25/2023 12:00:00 PM,1287
3/25/2023 1:00:00 PM,0
3/25/2023 2:00:00 PM,0
3/25/2023 3:00:00 PM,0
3/25/2023 4:00:00 PM,0
3/25/2023 5:00:00 PM,0
3/25/2023 6:00:00 PM,97
3/25/2023 7:00:00 PM,790
3/25/2023 8:00:00 PM,759
3/25/2023 9:00:00 PM,130
3/25/2023 10:00:00 PM,373
3/25/2023 11:00:00 PM,483
3/26/2023 12:00:00 AM,98
3/26/2023 1:00:00 AM,368
3/26/2023 2:00:00 AM,0
3/26/2023 3:00:00 AM,0
3/26/2023 4:00:00 AM,23
3/26/2023 5:00:00 AM,50
3/26/2023 6:00:00 AM,0
3/26/2023 7:00:00 AM,0
3/26/2023 8:00:00 AM,67
3/26/2023 9:00:00 AM,409
3/26/2023 10:00:00 AM,183
3/26/2023 11:00:00 AM,0
3/26/2023 12:00:00 PM,73
3/26/2023 1:00:00 PM,127
3/26/2023 2:00:00 PM,0
3/26/2023 3:00:00 PM,222
3/26/2023 4:00:00 PM,118
3/26/2023 5:00:00 PM,0
3/26/2023 6:00:00 PM,303
3/26/2023 7:00:00 PM,23
3/26/2023 8:00:00 PM,434
