DateTime,SyncDateUTC,Provider,DeviceName
7/10/2023 2:19:55 PM,7/10/2023 2:19:55 PM,Fitbit,Inspire 2
7/10/2023 2:35:54 PM,7/10/2023 2:35:54 PM,Fitbit,Inspire 2
7/10/2023 3:20:05 PM,7/10/2023 3:20:05 PM,Fitbit,Inspire 2
7/10/2023 4:20:38 PM,7/10/2023 4:20:38 PM,Fitbit,Inspire 2
7/10/2023 4:36:36 PM,7/10/2023 4:36:36 PM,Fitbit,Inspire 2
7/10/2023 5:18:08 PM,7/10/2023 5:18:08 PM,Fitbit,Inspire 2
7/10/2023 5:34:07 PM,7/10/2023 5:34:07 PM,Fitbit,Inspire 2
7/10/2023 6:18:36 PM,7/10/2023 6:18:36 PM,Fitbit,Inspire 2
7/10/2023 6:34:34 PM,7/10/2023 6:34:34 PM,Fitbit,Inspire 2
7/10/2023 7:21:00 PM,7/10/2023 7:21:00 PM,Fitbit,Inspire 2
7/10/2023 7:36:59 PM,7/10/2023 7:36:59 PM,Fitbit,Inspire 2
7/10/2023 7:53:59 PM,7/10/2023 7:53:59 PM,Fitbit,Inspire 2
7/10/2023 8:09:58 PM,7/10/2023 8:09:58 PM,Fitbit,Inspire 2
7/10/2023 8:25:59 PM,7/10/2023 8:25:59 PM,Fitbit,Inspire 2
7/10/2023 8:46:45 PM,7/10/2023 8:46:45 PM,Fitbit,Inspire 2
7/10/2023 9:16:04 PM,7/10/2023 9:16:04 PM,Fitbit,Inspire 2
7/10/2023 9:32:02 PM,7/10/2023 9:32:02 PM,Fitbit,Inspire 2
7/10/2023 10:18:15 PM,7/10/2023 10:18:15 PM,Fitbit,Inspire 2
7/10/2023 10:34:15 PM,7/10/2023 10:34:15 PM,Fitbit,Inspire 2
7/11/2023 4:20:29 PM,7/11/2023 4:20:29 PM,Fitbit,Inspire 2
7/11/2023 4:36:11 PM,7/11/2023 4:36:11 PM,Fitbit,Inspire 2
7/11/2023 5:19:11 PM,7/11/2023 5:19:11 PM,Fitbit,Inspire 2
7/11/2023 5:35:11 PM,7/11/2023 5:35:11 PM,Fitbit,Inspire 2
7/12/2023 7:55:10 PM,7/12/2023 7:55:10 PM,Fitbit,Inspire 2
